Date,SPY,QQQ,DIA,EEM
2020-01-02,296.8882141113281,208.58021545410156,257.607421875,40.087066650390625
2020-01-03,294.6400451660156,206.66966247558594,255.55459594726562,39.34276580810547
2020-01-06,295.7640686035156,208.00125122070312,256.1435546875,39.24644088745117
2020-01-07,294.9325256347656,207.9722900390625,255.03672790527344,39.22016906738281
2020-01-08,296.50439453125,209.53549194335938,256.5185241699219,39.44784164428711
2020-01-09,298.5148010253906,211.3109893798828,258.4462890625,39.71052932739258
2020-01-10,297.6558532714844,210.7705841064453,257.2682189941406,39.920692443847656
2020-01-13,299.702880859375,213.20223999023438,257.96429443359375,40.54239273071289
2020-01-14,299.2459411621094,212.36280822753906,258.14288330078125,40.31473159790039
2020-01-15,299.9222412109375,212.44961547851562,259.1514892578125,39.99949645996094
2020-01-16,302.4171447753906,214.48558044433594,261.45428466796875,40.25343704223633
2020-01-17,303.3583679199219,215.5470428466797,261.8811950683594,40.481109619140625
2020-01-21,302.7642822265625,215.45054626464844,260.5953369140625,39.45660400390625
2020-01-22,302.80096435546875,216.01986694335938,260.5773620605469,39.78059005737305
2020-01-23,303.148193359375,216.71463012695312,260.3362121582031,39.36903381347656
2020-01-24,300.4522399902344,214.8909149169922,258.7825012207031,39.05379104614258
2020-01-27,295.63616943359375,210.45216369628906,254.81764221191406,37.70530700683594
2020-01-28,298.7342224121094,213.68472290039062,256.54107666015625,38.02054214477539
2020-01-29,298.4874572753906,214.0321044921875,256.54107666015625,38.20442199707031
2020-01-30,299.4560852050781,214.79443359375,257.6572570800781,37.635250091552734
2020-01-31,294.0186767578125,211.38819885253906,252.1923370361328,36.87343978881836
2020-02-03,296.2027893066406,214.58209228515625,253.58541870117188,37.284996032714844
2020-02-04,300.7172546386719,219.49365234375,257.21087646484375,38.248199462890625
2020-02-05,304.18988037109375,220.21737670898438,261.51495361328125,38.46712112426758
2020-02-06,305.2135314941406,222.11825561523438,262.3006896972656,38.502140045166016
2020-02-07,303.5869140625,221.16299438476562,260.0236511230469,37.96799850463867
2020-02-10,305.8531494140625,223.83578491210938,261.5953674316406,38.178157806396484
2020-02-11,306.38330078125,223.87442016601562,261.5863037109375,38.677276611328125
2020-02-12,308.357177734375,226.05517578125,264.0687255859375,39.202659606933594
2020-02-13,308.0281677246094,225.76568603515625,263.2649841308594,38.686031341552734
2020-02-14,308.52178955078125,226.41217041015625,263.0151062011719,38.70353698730469
2020-02-18,307.7266845703125,226.49903869628906,261.5953674316406,38.4495964050293
2020-02-19,309.1979675292969,228.670166015625,262.622314453125,38.72980880737305
2020-02-20,307.927734375,226.54730224609375,261.44354248046875,38.12561798095703
2020-02-21,304.7565612792969,222.19544982910156,259.4412536621094,37.90670394897461
2020-02-24,294.649169921875,213.6268310546875,250.32595825195312,36.4881591796875
2020-02-25,285.7206726074219,207.81787109375,242.39239501953125,36.199195861816406
2020-02-26,284.66973876953125,208.88897705078125,241.5327911376953,36.4881591796875
2020-02-27,271.8847961425781,198.42910766601562,230.57275390625,35.61250686645508
2020-02-28,270.742431640625,198.58352661132812,227.94015502929688,35.481163024902344
2020-03-02,282.46728515625,208.83108520507812,239.1060791015625,36.25173568725586
2020-03-03,274.379638671875,202.13441467285156,232.18453979492188,36.00654983520508
2020-03-04,285.91253662109375,210.5679931640625,242.5625762939453,36.64577102661133
2020-03-05,276.4083557128906,204.1704559326172,234.11859130859375,35.87520217895508
2020-03-06,271.83917236328125,200.7257080078125,231.7815399169922,35.1396598815918
2020-03-09,250.6099395751953,186.78236389160156,213.7565460205078,32.74039840698242
2020-03-10,263.5776672363281,196.9527587890625,224.27783203125,34.40412139892578
2020-03-11,250.72872924804688,188.37449645996094,211.17771911621094,32.80168533325195
2020-03-12,226.7397003173828,171.10218811035156,189.92926025390625,29.518014907836914
2020-03-13,246.1228485107422,185.59547424316406,207.83782958984375,31.645841598510742
2020-03-16,219.19114685058594,163.36338806152344,181.31527709960938,27.696672439575195
2020-03-17,231.02574157714844,175.75315856933594,191.1470184326172,29.605581283569336
2020-03-18,219.3282470703125,170.40740966796875,178.53945922851562,27.048696517944336
2020-03-19,219.7943115234375,171.4302520751953,180.25865173339844,27.258852005004883
2020-03-20,210.32247924804688,164.71426391601562,172.34800720214844,27.460248947143555
2020-03-23,204.94483947753906,164.83323669433594,167.16590881347656,26.80352020263672
2020-03-24,223.51353454589844,177.5975341796875,185.58627319335938,28.817502975463867
2020-03-25,226.85960388183594,176.2824249267578,190.45404052734375,29.8332462310791
2020-03-26,240.10589599609375,185.5655059814453,202.13853454589844,30.962833404541016
2020-03-27,232.95419311523438,179.1833953857422,194.3069305419922,29.202783584594727
2020-03-30,240.51953125,185.70089721679688,200.3691864013672,29.68439483642578
2020-03-31,236.93446350097656,184.11505126953125,196.89346313476562,29.885787963867188
2020-04-01,226.27125549316406,176.29208374023438,188.04713439941406,28.607343673706055
2020-04-02,231.49253845214844,179.86993408203125,192.16046142578125,29.570556640625
2020-04-03,228.14651489257812,177.3170928955078,189.14280700683594,29.01013946533203
2020-04-06,243.4702606201172,189.9943389892578,203.44973754882812,30.59506607055664
2020-04-07,243.71847534179688,189.91697692871094,203.51258850097656,30.75267791748047
2020-04-08,251.89976501464844,193.9493408203125,210.45504760742188,31.067909240722656
2020-04-09,255.73291015625,194.22976684570312,212.9787139892578,30.954071044921875
2020-04-13,253.3980712890625,196.328125,210.12278747558594,30.997852325439453
2020-04-14,260.87152099609375,204.86666870117188,215.25987243652344,31.70713996887207
2020-04-15,255.3284912109375,202.51686096191406,211.1286163330078,30.89278221130371
2020-04-16,256.5603332519531,206.2107391357422,211.36209106445312,31.059158325195312
2020-04-17,263.4913635253906,208.1834259033203,217.85012817382812,31.750913619995117
2020-04-20,258.8491516113281,205.71759033203125,212.64710998535156,31.348119735717773
2020-04-21,250.9897003173828,198.12673950195312,206.87803649902344,30.481229782104492
2020-04-22,256.5603332519531,204.00604248046875,210.96678161621094,31.313100814819336
