Date,GGAL,YPF,PAM,BBAR,BMA
2020-01-02,12.692641258239746,11.260000228881836,15.84000015258789,4.03918981552124,26.840225219726562
2020-01-03,12.22082805633545,11.15999984741211,15.5,3.8784983158111572,26.102046966552734
2020-01-06,12.352317810058594,11.140000343322754,15.350000381469727,3.9515397548675537,26.448991775512695
2020-01-07,12.274970054626465,10.90999984741211,15.260000228881836,4.002668380737305,26.057754516601562
2020-01-08,12.40645980834961,10.979999542236328,14.949999809265137,4.061101913452148,26.434223175048828
2020-01-09,12.878276824951172,10.989999771118164,15.329999923706055,4.214488506317139,27.19455337524414
2020-01-10,12.661704063415527,10.65999984741211,15.0600004196167,4.199880599975586,26.714736938476562
2020-01-13,12.08160400390625,10.649999618530273,14.390000343322754,4.03918981552124,25.496740341186523
2020-01-14,11.965582847595215,10.640000343322754,14.369999885559082,3.907714366912842,24.83976173400879
2020-01-15,11.470560073852539,10.380000114440918,13.979999542236328,3.725111246109009,23.643903732299805
2020-01-16,11.803153038024902,10.350000381469727,14.199999809265137,3.8492817878723145,24.2861270904541
2020-01-17,12.066133499145508,10.319999694824219,14.949999809265137,3.9734530448913574,24.3968505859375
2020-01-21,11.663928031921387,9.819999694824219,14.270000457763672,3.7762413024902344,23.953943252563477
2020-01-22,11.57884693145752,9.949999809265137,14.579999923706055,3.8784983158111572,24.330421447753906
2020-01-23,11.253992080688477,9.760000228881836,13.899999618530273,3.549812078475952,23.392925262451172
2020-01-24,10.820845603942871,9.65999984741211,13.199999809265137,3.3599045276641846,22.35947608947754
2020-01-27,10.635213851928711,9.369999885559082,13.279999732971191,3.2357337474823,21.953474044799805
2020-01-28,11.176640510559082,9.420000076293945,13.630000114440918,3.3745124340057373,23.14194679260254
2020-01-29,11.145703315734863,9.579999923706055,13.479999542236328,3.316079616546631,22.8466739654541
2020-01-30,11.478293418884277,9.609999656677246,13.65999984741211,3.45485782623291,23.370779037475586
2020-01-31,11.099296569824219,9.390000343322754,13.170000076293945,3.41833758354187,22.639982223510742
2020-02-03,11.74901008605957,9.680000305175781,14.350000381469727,3.579028844833374,24.45591163635254
2020-02-04,11.447355270385742,9.699999809265137,13.520000457763672,3.2941672801971436,23.658674240112305
2020-02-05,11.39321231842041,9.850000381469727,13.640000343322754,3.4621620178222656,23.968706130981445
2020-02-06,11.447355270385742,9.850000381469727,13.819999694824219,3.5205957889556885,23.96132469177246
2020-02-07,11.586579322814941,9.859999656677246,14.029999732971191,3.6155495643615723,24.596160888671875
2020-02-10,11.594315528869629,9.899999618530273,13.800000190734863,3.6228537559509277,24.42637825012207
2020-02-11,11.339072227478027,9.5600004196167,13.430000305175781,3.5132908821105957,23.488889694213867
2020-02-12,11.455093383789062,9.430000305175781,13.460000038146973,3.4402496814727783,24.160634994506836
2020-02-13,10.503721237182617,9.210000038146973,12.869999885559082,3.169996976852417,22.972166061401367
2020-02-14,10.666152000427246,9.479999542236328,12.800000190734863,3.1992127895355225,23.023834228515625
2020-02-18,10.596539497375488,9.479999542236328,12.800000190734863,3.1919093132019043,23.07550811767578
2020-02-19,10.898193359375,9.649999618530273,12.90999984741211,3.2284300327301025,24.212305068969727
2020-02-20,11.068358421325684,9.699999809265137,13.210000038146973,3.3306877613067627,25.024309158325195
2020-02-21,11.207581520080566,9.59000015258789,13.25,3.3452959060668945,25.275287628173828
2020-02-24,10.78990650177002,9.119999885559082,12.890000343322754,3.264950752258301,24.278743743896484
2020-02-25,10.248477935791016,8.5,12.470000267028809,3.0969550609588623,23.341251373291016
2020-02-26,10.287151336669922,8.569999694824219,12.180000305175781,3.1261723041534424,23.481508255004883
2020-02-27,10.078313827514648,8.199999809265137,11.880000114440918,3.075043201446533,21.99776840209961
2020-02-28,9.776660919189453,7.989999771118164,11.850000381469727,2.943568468093872,21.3924560546875
2020-03-02,10.116989135742188,8.039999961853027,13.40999984741211,3.089650869369507,22.248748779296875
2020-03-03,10.024171829223633,8.100000381469727,13.430000305175781,3.0458269119262695,22.130640029907227
2020-03-04,10.495987892150879,8.239999771118164,14.399999618530273,3.264950752258301,23.14933204650879
2020-03-05,10.202068328857422,7.75,13.829999923706055,3.2138218879699707,22.676889419555664
2020-03-06,9.451805114746094,7.300000190734863,13.430000305175781,2.9800891876220703,20.875728607177734
2020-03-09,7.703761100769043,5.260000228881836,11.069999694824219,2.468799114227295,16.904319763183594
2020-03-10,8.55457878112793,6.079999923706055,11.819999694824219,2.7974853515625,19.037670135498047
2020-03-11,7.858455181121826,5.409999847412109,11.0,2.3957579135894775,17.561302185058594
2020-03-12,6.752392292022705,4.650000095367432,10.09000015258789,1.8990764617919922,14.645491600036621
2020-03-13,7.123658657073975,4.5,10.34000015258789,2.125504493713379,15.752765655517578
2020-03-16,5.5225749015808105,3.819999933242798,9.479999542236328,1.9355974197387695,12.822188377380371
2020-03-17,5.909310340881348,3.509999990463257,10.699999809265137,2.0670711994171143,14.261639595031738
2020-03-18,4.702696800231934,2.569999933242798,9.819999694824219,1.8041226863861084,11.97327995300293
2020-03-19,4.718167304992676,3.049999952316284,9.130000114440918,1.6580398082733154,11.19080924987793
2020-03-20,5.267331600189209,3.5,9.369999885559082,1.7529938220977783,12.076626777648926
2020-03-23,4.988881587982178,3.4000000953674316,9.020000457763672,1.709168791770935,11.286772727966309
2020-03-24,5.623127460479736,3.930000066757202,11.020000457763672,1.8698598146438599,12.416189193725586
2020-03-25,5.89384126663208,4.230000019073486,11.630000114440918,1.906380295753479,13.132223129272461
2020-03-26,6.071739196777344,4.130000114440918,11.550000190734863,1.8917720317840576,13.383201599121094
2020-03-27,5.2131876945495605,3.8499999046325684,10.100000381469727,1.6945604085922241,11.589427947998047
2020-03-30,5.205452919006348,4.039999961853027,10.34000015258789,1.7456897497177124,11.92898941040039
2020-03-31,5.4529643058776855,4.170000076293945,11.300000190734863,1.9136849641799927,12.534296035766602
2020-04-01,5.251860618591309,4.070000171661377,10.640000343322754,1.8625556230545044,12.157827377319336
2020-04-02,5.568984031677246,4.360000133514404,10.729999542236328,1.8990764617919922,12.563824653625488
2020-04-03,5.677270412445068,4.360000133514404,10.949999809265137,1.8990764617919922,12.903388023376465
2020-04-06,5.42202615737915,4.260000228881836,10.779999732971191,1.8698598146438599,12.357133865356445
2020-04-07,5.360147953033447,4.130000114440918,10.699999809265137,1.8698598146438599,12.061861038208008
2020-04-08,5.568984031677246,4.230000019073486,10.979999542236328,1.92098867893219,11.89946460723877
2020-04-09,5.483902454376221,4.199999809265137,10.420000076293945,1.8844679594039917,12.231642723083496
2020-04-13,5.282800197601318,4.0,10.350000381469727,1.8041226863861084,11.818262100219727
2020-04-14,5.507106304168701,4.0,10.25,1.8625556230545044,12.150444030761719
2020-04-15,5.862902641296387,3.9600000381469727,10.6899995803833,1.906380295753479,12.80742359161377
2020-04-16,5.785555839538574,3.9000000953674316,10.680000305175781,1.9429008960723877,12.770513534545898
2020-04-17,5.669536113739014,3.880000114440918,10.069999694824219,2.0232467651367188,12.098772048950195
